Percent_Thrombolysis_(median),Percent_Thrombolysis_(low_5%),Percent_Thrombolysis_(high_95%),Percent_Thrombolysis_(mean),Percent_Thrombolysis_(stdev),Percent_Thrombolysis_(95ci),Baseline_good_outcomes_per_1000_patients_(median),Baseline_good_outcomes_per_1000_patients_(low_5%),Baseline_good_outcomes_per_1000_patients_(high_95%),Baseline_good_outcomes_per_1000_patients_(mean),Baseline_good_outcomes_per_1000_patients_(stdev),Baseline_good_outcomes_per_1000_patients_(95ci),Additional_good_outcomes_per_1000_patients_(median),Additional_good_outcomes_per_1000_patients_(low_5%),Additional_good_outcomes_per_1000_patients_(high_95%),Additional_good_outcomes_per_1000_patients_(mean),Additional_good_outcomes_per_1000_patients_(stdev),Additional_good_outcomes_per_1000_patients_(95ci),Onset_to_needle_(mean),Onset_to_puncture_(mean),stroke_team,scenario
7.692308,5.288462,10.096154,7.673077,1.443796,0.282979,335.336538,307.451923,370.3125,335.625,19.429396,3.808092,4.807692,0.0,12.019231,5.144231,3.501387,0.686259,149.349596,,12,speed
11.778846,9.134615,14.675481,11.692308,1.664564,0.326249,336.538462,305.168269,375.0,337.043269,21.321536,4.178944,9.615385,2.283654,19.230769,9.110577,5.116982,1.00291,150.176141,,12,speed_benchmark
13.942308,11.766827,16.826923,14.019231,1.462354,0.286616,336.538462,305.048077,367.788462,337.692308,20.349983,3.988523,9.615385,2.403846,16.947115,10.408654,4.481648,0.878387,149.467476,,12,speed_onset
21.394231,18.509615,24.314904,21.533654,1.779686,0.348812,336.538462,305.168269,375.120192,337.163462,19.839165,3.888405,16.826923,7.091346,26.442308,16.658654,5.930225,1.162303,151.096397,,12,speed_onset_benchmark
10.542169,8.433735,12.650602,10.504518,1.27492,0.24988,335.843373,307.228916,361.445783,335.376506,18.131388,3.553687,6.024096,1.506024,12.123494,6.777108,3.235731,0.634192,157.752566,,13,base
14.307229,12.334337,16.423193,14.36747,1.309077,0.256574,334.337349,307.228916,367.46988,334.774096,18.006624,3.529233,9.036145,4.518072,15.060241,9.653614,3.117414,0.611002,158.769346,,13,benchmark
14.457831,12.048193,16.114458,14.21988,1.215455,0.238225,334.337349,302.635542,369.051205,335.105422,20.749721,4.066871,9.036145,4.442771,16.566265,9.894578,4.045931,0.792988,157.996218,,13,onset
19.578313,17.304217,21.837349,19.542169,1.435797,0.281411,338.855422,311.596386,364.533133,338.207831,17.035026,3.338804,12.801205,7.454819,19.578313,13.433735,4.115687,0.80666,158.947379,,13,onset_benchmark
10.918675,9.638554,13.260542,11.058735,1.129494,0.221377,332.831325,310.240964,364.533133,335.01506,16.982657,3.32854,7.53012,4.442771,13.554217,8.042169,3.132992,0.614055,145.634107,,13,speed
15.135542,12.951807,17.326807,15.149096,1.426027,0.279496,334.337349,307.153614,359.939759,333.855422,15.615714,3.060624,10.542169,5.948795,18.072289,11.23494,3.813699,0.747471,145.643088,,13,speed_benchmark
